example_id,customer_id,candidate_article_id,candidate_prod_name,candidate_product_type,candidate_colour,candidate_image_path,similar_history_rank,history_article_id,history_prod_name,history_product_type,history_colour,history_image_path,cosine_similarity,explanation
4,0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,0731119001,Flirty Miki stud pk,Earring,Gold,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\073\0731119001.jpg,1,0656719004,Serpente HW slim trouser,Trousers,Light Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\065\0656719004.jpg,0.011840231716632843,Candidate 0731119001 is visually similar to customer history item 0656719004 with cosine similarity 0.0118.
4,0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,0731119001,Flirty Miki stud pk,Earring,Gold,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\073\0731119001.jpg,2,0612182014,Pluto RW slacks,Trousers,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\061\0612182014.jpg,-0.005109681282192469,Candidate 0731119001 is visually similar to customer history item 0612182014 with cosine similarity -0.0051.
4,0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,0731119001,Flirty Miki stud pk,Earring,Gold,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\073\0731119001.jpg,3,0562245059,Luna skinny RW,Trousers,Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\056\0562245059.jpg,-0.018101554363965988,Candidate 0731119001 is visually similar to customer history item 0562245059 with cosine similarity -0.0181.
4,0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,0731119001,Flirty Miki stud pk,Earring,Gold,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\073\0731119001.jpg,4,0662728004,Babe dress J,Dress,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0662728004.jpg,-0.023997478187084198,Candidate 0731119001 is visually similar to customer history item 0662728004 with cosine similarity -0.0240.
5,00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,0626813002,Syrup ISW 19,Blouse,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\062\0626813002.jpg,1,0667916002,LOGG Bonnie flowy blouse,Blouse,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0667916002.jpg,0.4436545670032501,Candidate 0626813002 is visually similar to customer history item 0667916002 with cosine similarity 0.4437.
5,00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,0626813002,Syrup ISW 19,Blouse,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\062\0626813002.jpg,2,0535455002,Lastday,Blouse,Dark Red,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\053\0535455002.jpg,0.295193612575531,Candidate 0626813002 is visually similar to customer history item 0535455002 with cosine similarity 0.2952.
5,00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,0626813002,Syrup ISW 19,Blouse,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\062\0626813002.jpg,3,0616849012,Tokyo,Blouse,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\061\0616849012.jpg,0.29430723190307617,Candidate 0626813002 is visually similar to customer history item 0616849012 with cosine similarity 0.2943.
5,00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,0626813002,Syrup ISW 19,Blouse,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\062\0626813002.jpg,4,0621020001,Bella Pointelle Cardigan,Cardigan,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\062\0621020001.jpg,0.24916020035743713,Candidate 0626813002 is visually similar to customer history item 0621020001 with cosine similarity 0.2492.
6,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,0698697001,WM CHESHIRE CLASSIC TEE,T-shirt,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\069\0698697001.jpg,1,0687424001,Ocean,Dress,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0687424001.jpg,0.09947280585765839,Candidate 0698697001 is visually similar to customer history item 0687424001 with cosine similarity 0.0995.
6,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,0698697001,WM CHESHIRE CLASSIC TEE,T-shirt,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\069\0698697001.jpg,2,0584631022,5pk regular fancy,Socks,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\058\0584631022.jpg,0.05496258661150932,Candidate 0698697001 is visually similar to customer history item 0584631022 with cosine similarity 0.0550.
6,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,0698697001,WM CHESHIRE CLASSIC TEE,T-shirt,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\069\0698697001.jpg,3,0667411008,1 pk Fun,Socks,Dark Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0667411008.jpg,0.05088692903518677,Candidate 0698697001 is visually similar to customer history item 0667411008 with cosine similarity 0.0509.
6,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,0698697001,WM CHESHIRE CLASSIC TEE,T-shirt,White,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\069\0698697001.jpg,4,0304692003,Mohair 2p Kneehigh,Socks,Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\030\0304692003.jpg,0.05065504088997841,Candidate 0698697001 is visually similar to customer history item 0304692003 with cosine similarity 0.0507.
7,00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,0573716012,Kanta slacks RW,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\057\0573716012.jpg,1,0650543001,Delta skinny trouser,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\065\0650543001.jpg,0.7631305456161499,Candidate 0573716012 is visually similar to customer history item 0650543001 with cosine similarity 0.7631.
7,00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,0573716012,Kanta slacks RW,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\057\0573716012.jpg,2,0656719003,Serpente HW slim trouser,Trousers,Dark Turquoise,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\065\0656719003.jpg,0.6624353528022766,Candidate 0573716012 is visually similar to customer history item 0656719003 with cosine similarity 0.6624.
7,00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,0573716012,Kanta slacks RW,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\057\0573716012.jpg,3,0547752004,Slurp long tregging,Trousers,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\054\0547752004.jpg,0.5703243017196655,Candidate 0573716012 is visually similar to customer history item 0547752004 with cosine similarity 0.5703.
7,00022754ec18c5e53757eea8b281632a5c4a499368ecc53a21adfc64a665ba8b,0573716012,Kanta slacks RW,Trousers,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\057\0573716012.jpg,4,0569996001,R-NECK SS BASIC FIT,T-shirt,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\056\0569996001.jpg,0.22024855017662048,Candidate 0573716012 is visually similar to customer history item 0569996001 with cosine similarity 0.2202.
8,00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,0684688002,Kirsten M-gown (J),Robe,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0684688002.jpg,1,0633136005,Herbal hood TOP PRODUCT,Hoodie,Light Pink,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\063\0633136005.jpg,0.3811126947402954,Candidate 0684688002 is visually similar to customer history item 0633136005 with cosine similarity 0.3811.
8,00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,0684688002,Kirsten M-gown (J),Robe,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0684688002.jpg,2,0703199002,Tutti Frutti Hipster Ch L 3p,Underwear bottom,Dark Red,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\070\0703199002.jpg,0.19713860750198364,Candidate 0684688002 is visually similar to customer history item 0703199002 with cosine similarity 0.1971.
8,00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,0684688002,Kirsten M-gown (J),Robe,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0684688002.jpg,3,0664180001,CSP Lace Body,Bodysuit,Black,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\066\0664180001.jpg,0.17057392001152039,Candidate 0684688002 is visually similar to customer history item 0664180001 with cosine similarity 0.1706.
8,00025f8226be50dcab09402a2cacd520a99e112fe01fddd1b10ea71270547b26,0684688002,Kirsten M-gown (J),Robe,Dark Grey,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\068\0684688002.jpg,4,0581781010,Vintage Slim Ankle,Trousers,Blue,C:\Users\Yusuf\Desktop\perseptron_project\data\images\hm_images\058\0581781010.jpg,0.0156705304980278,Candidate 0684688002 is visually similar to customer history item 0581781010 with cosine similarity 0.0157.
